,Kenmore Square,Charles MGH,Roxbury Crossing,Stony Brook,World Trade Center,Ashmont,JFK/U Mass,Airport,Community College,Park Street,Haymarket,Harvard,Boylston,Forest Hills,Green Street,Shawmut,South Station,State Street,Fields Corner,Copley Square
Kenmore Square,0.0,12.729438841961048,2.3630622215002495,6.876927618354416,8.59818076503019,5.344035778555485,8.476613311270533,10.769379405811225,11.9219048661454,48.62248075534586,20.38460393993838,2.7674576835373976,61.766332802485366,3.3421589608786646,6.208331568812832,5.14609315391835,30.08994382762797,123.38076602424759,14.349532396815592,5.213302635381166
Charles MGH,0.6155383671882647,0.0,1.1527200319216735,2.555849821222321,1.094288575286406,1.2596364308851395,1.6036635117825524,1.5757169602869239,0.911632306557153,2.8174881955348776,1.38986672106174,0.8965876421658432,18.311723929034823,1.0619650199960051,2.131013365984167,0.8135908447917155,2.933560097427015,9.430728730373529,3.1903749073392635,0.8141407545912429
Roxbury Crossing,1.303526403991326,13.14990594440973,0.0,2.577440488281878,6.696733196121992,3.1245572738797556,5.410144259632858,8.530373026838687,12.225849744617772,44.2630354294512,18.497891064636928,2.9264186452825216,76.13309945215285,1.7229071521512231,2.7659370943405146,4.12380156976266,24.90273640642005,107.9888248493629,8.447235112321232,5.084413627451235
Stony Brook,1.5586967894482449,11.97999536035262,1.0590370611494588,0.0,5.322003422840758,1.841204094255134,4.0491931585974275,6.3696824412395925,10.447651044102628,39.08666787428762,15.723771283730489,2.2605225167286993,86.17682320657329,0.5945482168845095,0.5621649015973605,4.106435875037497,21.14236409603981,92.41068574626092,5.4668192821745345,5.2814622027851135
World Trade Center,3.3164987779709643,8.728894932943442,4.682648850063284,9.05693461096313,0.0,3.1290096294387957,3.0421461806897243,2.5175188509097137,7.640940007343272,19.449078010222475,6.767494164957568,4.085194469249443,119.55802375940905,3.474695818134435,7.247958953305533,3.780335374968871,6.055089976229904,34.255864421003665,7.369684269254466,5.5368616358872105
Ashmont,9.655308298467952,47.06479071770287,10.233886658859177,14.6768052951397,14.656504910861152,0.0,8.336633717424542,16.94580842959355,39.86674318778786,139.11598489720512,53.896329767977406,11.487912325393115,427.90913542228066,4.593786727045849,10.537839033962213,16.394701487461973,67.51529161744607,309.9948811075764,5.2109240910625125,23.094441693085745
JFK/U Mass,3.1559940294116253,12.347560978046047,3.6515560495136614,6.651431271637774,2.93643647261421,1.7179389769835698,0.0,4.695564147965418,11.307863536017614,32.95777580635876,13.291816304188842,4.235996639535582,120.02575494027971,2.560666806068163,5.2793341631756405,3.712623040056416,14.176717820054261,71.54057929904407,3.008398775959427,5.876091691426276
Airport,5.935100026795262,17.958485383593743,8.5223764272998,15.487736776527496,3.5969700869281542,5.168956403816613,6.950424692662304,0.0,12.988195011101894,48.59644452635007,15.478908062296878,6.161052927745471,238.21402253981492,5.6013533304387515,12.099790349848064,8.91765877299048,21.96659172143332,95.28575296364316,13.309108754321802,11.979773333573753
Community College,1.0820621490304505,1.7111197011986607,2.011596781714683,4.183675815308159,1.7979601968864223,2.0027213315096652,2.756597203416765,2.13903548385732,0.0,7.767386512014457,2.4200684337964558,1.2115713588763275,40.471856097660705,1.6673644642538097,3.4245949657904395,1.8893366763481287,5.8358617650306055,19.252649041954406,5.218142039229147,2.082242086776884
Park Street,0.23892178719662807,0.28630891915658546,0.39428945237656227,0.8473836937576927,0.24776752900389945,0.37835448628630153,0.4349734364426653,0.43329709004905653,0.42052033781889414,0.0,0.2583663589196622,0.33601656850256717,7.278493360303513,0.3466204403348265,0.7002566357550714,0.23567258859938547,0.47148230447228806,1.1384407360537914,0.9311650852745976,0.2964984591699387
Haymarket,0.7817868842073417,1.1023344733585554,1.286067147702478,2.660575776963076,0.6728848062516579,1.1440592200888227,1.3691676580172691,1.077181926069288,1.0226033137914985,2.016524141066164,0.0,0.984845709035409,26.34865597074659,1.0595827136822116,2.1726167063197965,0.9489231914094706,1.648391980606103,3.3444666498385907,2.8560116884707067,1.1862982838222527
Harvard,4.155606811411801,27.841994274764364,7.966090578865343,14.975975133833606,15.903507773996603,9.547678454818572,17.084224365187513,16.78692054960954,20.044531279213757,102.68228187010284,38.55986948169136,0.0,256.6114989560746,5.800450362287602,12.116440273263468,14.242882909380263,61.08589844988583,245.30999860788256,27.21209802104766,16.156005773543132
