,Kenmore Square,Charles MGH,Roxbury Crossing,Stony Brook,World Trade Center,Ashmont,JFK/U Mass,Airport,Community College,Park Street,Haymarket,Harvard,Boylston,Forest Hills,Green Street,Shawmut,South Station,State Street,Fields Corner,Copley Square
Kenmore Square,0.0,38196.59220338551,205758.9427821466,70703.25753125641,56549.309407618035,90983.89392814838,57360.31202200067,45148.48684427945,40783.8503899694,9999.92548448618,23852.37338223172,175692.3646264496,7871.945157876646,145481.16655004732,78317.52847525477,94483.5567257663,16158.926291443715,3940.818330863392,33884.11350130287,93265.48225389422
Charles MGH,38196.59220338551,0.0,20396.512028885692,9199.080400500092,21485.619541330132,18665.281045028634,14661.098057218836,14921.123900796681,25790.516448260503,8344.832831700454,16916.347186921023,26223.279121082247,1283.9571024631084,22139.58798484376,11032.998840985498,28898.393028312654,8014.653600466376,2493.0701188874814,7369.500036795428,28878.87366458194
Roxbury Crossing,205758.9427821466,20396.512028885692,0.0,104061.45786615575,40051.20211884616,85840.06989279157,49575.7972250577,31442.026501069282,21938.124578370884,6059.507943176638,14499.610460276699,91652.03181241173,3522.9383369900906,155674.21287849353,96969.74501794254,65040.03896319994,10770.391269319387,2483.7034308689485,31751.4797691201,52751.84798612079
Stony Brook,70703.25753125641,9199.080400500092,104061.45786615575,0.0,20707.416317044957,59854.820473927764,27216.51850159575,17301.481123139794,10548.298373700856,2819.502058142898,7008.810960735084,48751.97645763078,1278.8234285839367,185359.1304923702,196036.67928104466,26837.12685918796,5212.517390055938,1192.5562463641916,20158.87755368889,20866.369252701767
World Trade Center,56549.309407618035,21485.619541330132,40051.20211884616,20707.416317044957,0.0,59937.7239945102,61649.146492673215,74496.25073420878,24544.84858737638,9642.910344999014,27712.72659776916,45908.63836646783,1568.6585445981627,53974.71472658591,25875.65916883874,49610.86701124011,30973.233474928344,5474.849889657878,25448.27006061682,33872.20557037008
Ashmont,90983.89392814838,18665.281045028634,85840.06989279157,59854.820473927764,59937.7239945102,0.0,105375.57194521547,51840.4034673989,22035.34765640143,6314.7131993530365,16299.394594273987,76469.72932841543,2052.9534738828524,191231.67841017866,83364.10750251067,53583.01563119062,13011.534498717605,2833.84532974441,168583.83095199848,38038.48379388997
JFK/U Mass,57360.31202200067,14661.098057218836,49575.7972250577,27216.51850159575,61649.146492673215,105375.57194521547,0.0,38553.152840018505,16009.107440146603,5492.749369078934,13619.568471584415,42735.822917571844,1508.2496448924244,70695.96162906763,34290.08217159891,48760.3509199445,12769.443856076496,2530.435230471232,60174.47012452297,30807.68847272391
Airport,45148.48684427945,14921.123900796681,31442.026501069282,17301.481123139794,74496.25073420878,51840.4034673989,38553.152840018505,0.0,20631.102724451255,5513.9998016512145,17311.349379478543,43492.69331424232,1124.8741053204024,47838.57929888155,22145.903171174632,30048.333570559967,12198.559925789163,2812.181014946594,20133.63857983615,22367.767571050663
Community College,40783.8503899694,25790.516448260503,21938.124578370884,10548.298373700856,24544.84858737638,22035.34765640143,16009.107440146603,20631.102724451255,0.0,5681.532743406823,18235.294581929305,36424.318283353656,1090.4036793424316,26467.315182020695,12886.3883873989,23357.753729740834,7561.978431899204,2292.186426010225,8457.159745162067,21193.818470462673
Park Street,9999.92548448618,8344.832831700454,6059.507943176638,2819.502058142898,9642.910344999014,6314.7131993530365,5492.749369078934,5513.9998016512145,5681.532743406823,0.0,9247.334206267373,7110.363870549116,328.25475690025445,6892.842402134854,3411.8920786952967,10137.79363474423,5067.42256479951,2098.660029390986,2565.81792677716,8058.052224875714
